Serial No,Stock Symbol,Metric1,Metric2,Metric3,...
1,A,In-4-days,Q2-2025,1.26-USD,1.63-B-USD,30.94-B-USD,0.91%,25.21,4.37-USD,1.29-B-USD,6.51-B-USD,283.95-M,0.85
2,AA,July-16,Q2-2025,0.75-USD,2.96-B-USD,7.27-B-USD,1.36%,8.70,3.40-USD,60.00-M-USD,12.18-B-USD,256.77-M,1.87
3,AACB,294.88-M-USD,,,,85.27-K-USD,0.00-USD,23.47-M,0.04,1,0.00-USD,85.27-K-USD,Finance
4,AACT,698.40-M-USD,,31.18,0.36-USD,25.99-M-USD,0.00-USD,46.39-M,0.00,4,0,0.00-USD,6.50-M-USD
5,AAL,July-17,Q2-2025,0.78-USD,14.27-B-USD,7.38-B-USD,,13.16,1.04-USD,846.00-M-USD,54.21-B-USD,649.21-M,0.96
6,AAM,544.40-M-USD,,49.26,0.21-USD,5.86-M-USD,0.00-USD,36.47-M,0.02,2,0.00-USD,2.93-M-USD,Finance
7,AAME,35.08-M-USD,1.16%,,0.09-USD,4.27-M-USD,188.23-M-USD,3.83-M,0.19,156,+1-+0.65%,1.21-M-USD,27.36-K-USD
8,AAMI,July-24,Q2-2025,0.52-USD,117.60-M-USD,1.05-B-USD,0.13%,12.58,2.42-USD,85.00-M-USD,515.30-M-USD,35.13-M,1.24
9,AAOI,July-31,Q2-2025,0.08-USD,104.96-M-USD,993.13-M-USD,,,3.87-USD,186.73-M-USD,249.37-M-USD,51.11-M,3.74
10,AAON,July-31,Q2-2025,0.44-USD,345.94-M-USD,8.06-B-USD,0.37%,56.15,1.95-USD,168.56-M-USD,1.20-B-USD,67.22-M,1.59
11,AAP,3-days-ago,Q1-2025,0.81-USD,2.50-B-USD,2.91-B-USD,2.85%,,5.62-USD,335.79-M-USD,9.09-B-USD,59.00-M,0.90
12,AAPL,July-23,Q3-2025,1.42-USD,88.90-B-USD,2.92-T-USD,0.51%,31.42,6.44-USD,93.74-B-USD,391.04-B-USD,14.92-B,1.08
13,AARD,September-3,Q2-2025,0.65-USD,0.00-USD,227.81-M-USD,,,3.16-USD,20.59-M-USD,0.00-USD,12.39-M,1.06
14,AB,July-24,Q2-2025,0.76-USD,870.88-M-USD,4.33-B-USD,8.18%,10.99,3.71-USD,423.37-M-USD,0.00-USD,104.77-M,0.65
15,ABAT,September-24,Q4-2025,0.08-USD,30.00-M-USD,121.29-M-USD,,,0.85-USD,52.50-M-USD,343.50-K-USD,88.57-M,0.98
16,ABBV,,,,,323.71-B-USD,3.59%,77.84,2.35-USD,4.24-B-USD,56.33-B-USD,1.76-B,0.33
